cntr,coadd_id,decl,ra,source_id,w1mpro,w2mpro,w3mpro,w4mpro
15100001351031627,0015p000_ac51,-0.07016340,1.54437160,0015p000_ac51-031627,16.36700000,15.81700000,12.21100000,8.40600000
15100001351032819,0015p000_ac51,-0.13886930,1.58593980,0015p000_ac51-032819,17.28800000,16.93000000,12.02300000,8.27800000
15100001351031402,0015p000_ac51,-0.12883590,1.56641090,0015p000_ac51-031402,15.81500000,15.82600000,12.13600000,8.71900000
15100001351017869,0015p000_ac51,-0.27608730,1.58403770,0015p000_ac51-017869,14.14000000,14.12200000,11.95500000,8.59100000
15100001351033127,0015p000_ac51,-0.06122050,1.51913140,0015p000_ac51-033127,17.49400000,16.84500000,12.21600000,8.65200000
15100001351031363,0015p000_ac51,-0.05418090,1.57318510,0015p000_ac51-031363,15.70900000,15.34200000,11.51900000,8.57600000
15100001351017791,0015p000_ac51,-0.23559200,1.56912840,0015p000_ac51-017791,18.61800000,17.03200000,11.85800000,3.94600000
15100001351018108,0015p000_ac51,-0.17944610,1.55208500,0015p000_ac51-018108,16.05200000,15.85700000,11.75300000,8.56900000
15100001351017722,0015p000_ac51,-0.21721030,1.57655590,0015p000_ac51-017722,11.65200000,11.71400000,11.40800000,5.70000000
15100001351017793,0015p000_ac51,-0.23622950,1.58188630,0015p000_ac51-017793,17.95300000,16.80500000,11.58300000,4.03700000
15100001351032100,0015p000_ac51,-0.08872960,1.51346570,0015p000_ac51-032100,17.01100000,16.50800000,12.34800000,8.73000000
15100001351031644,0015p000_ac51,-0.00121720,1.53662790,0015p000_ac51-031644,16.62300000,16.12400000,11.82400000,8.79900000
15100001351032610,0015p000_ac51,-0.00351040,1.59056020,0015p000_ac51-032610,17.34400000,16.88900000,12.45800000,8.18400000
15100001351032135,0015p000_ac51,-0.03797550,1.54535540,0015p000_ac51-032135,17.39300000,16.61600000,12.17000000,8.82100000
15100001351019654,0015p000_ac51,-0.21844900,1.56825240,0015p000_ac51-019654,14.69600000,12.56800000,9.41500000,5.15000000
15100001351017798,0015p000_ac51,-0.23302150,1.56609890,0015p000_ac51-017798,18.25700000,16.61500000,11.23000000,4.12900000
